year,number_month,month,type,product,qty_per_year,value_per_year
2560,1,ม.ค.,ทุเรียน,ทุเรียนสด,"2,896,191","128,544,077"
2560,2,ก.พ.,ทุเรียน,ทุเรียนสด,"3,859,998","181,178,683"
2560,3,มี.ค.,ทุเรียน,ทุเรียนสด,"10,381,412","646,248,620"
2560,4,เม.ย.,ทุเรียน,ทุเรียนสด,"52,949,861","2,484,668,154"
2560,5,พ.ค.,ทุเรียน,ทุเรียนสด,"169,446,155","7,187,068,576"
2560,6,มิ.ย.,ทุเรียน,ทุเรียนสด,"61,485,854","2,572,304,271"
2560,7,ก.ค.,ทุเรียน,ทุเรียนสด,"60,233,521","2,556,102,210"
2560,8,ส.ค.,ทุเรียน,ทุเรียนสด,"84,168,685","3,632,953,279"
2560,9,ก.ย.,ทุเรียน,ทุเรียนสด,"13,092,101","662,038,694"
2560,10,ต.ค.,ทุเรียน,ทุเรียนสด,"6,819,141","464,993,698"
2560,11,พ.ย.,ทุเรียน,ทุเรียนสด,"7,367,835","457,556,415"
2560,12,ธ.ค.,ทุเรียน,ทุเรียนสด,"17,788,239","1,124,787,793"
2561,1,ม.ค.,ทุเรียน,ทุเรียนสด,"5,113,553","352,739,100"
2561,2,ก.พ.,ทุเรียน,ทุเรียนสด,"5,393,555","415,453,962"
2561,3,มี.ค.,ทุเรียน,ทุเรียนสด,"14,130,176","1,327,076,400"
2561,4,เม.ย.,ทุเรียน,ทุเรียนสด,"123,922,238","6,823,393,200"
2561,5,พ.ค.,ทุเรียน,ทุเรียนสด,"86,801,003","4,914,397,167"
2561,6,มิ.ย.,ทุเรียน,ทุเรียนสด,"64,177,511","3,764,030,393"
2561,7,ก.ค.,ทุเรียน,ทุเรียนสด,"52,357,445","3,109,485,351"
2561,8,ส.ค.,ทุเรียน,ทุเรียนสด,"89,316,096","5,757,873,058"
2561,9,ก.ย.,ทุเรียน,ทุเรียนสด,"25,407,219","1,649,422,544"
2561,10,ต.ค.,ทุเรียน,ทุเรียนสด,"6,818,937","531,914,745"
2561,11,พ.ย.,ทุเรียน,ทุเรียนสด,"7,614,813","558,570,803"
2561,12,ธ.ค.,ทุเรียน,ทุเรียนสด,"13,015,226","982,614,712"
2562,1,ม.ค.,ทุเรียน,ทุเรียนสด,"8,638,707","668,847,831"
2562,2,ก.พ.,ทุเรียน,ทุเรียนสด,"23,350,026","1,580,010,546"
2562,3,มี.ค.,ทุเรียน,ทุเรียนสด,"60,982,550","3,930,117,294"
2562,4,เม.ย.,ทุเรียน,ทุเรียนสด,"203,283,226","12,809,920,883"
2562,5,พ.ค.,ทุเรียน,ทุเรียนสด,"71,927,447","4,890,344,505"
2562,6,มิ.ย.,ทุเรียน,ทุเรียนสด,"24,543,712","1,796,243,237"
2562,7,ก.ค.,ทุเรียน,ทุเรียนสด,"71,204,029","5,288,886,275"
2562,8,ส.ค.,ทุเรียน,ทุเรียนสด,"137,752,675","9,960,822,078"
2562,9,ก.ย.,ทุเรียน,ทุเรียนสด,"26,523,181","2,051,512,971"
2562,10,ต.ค.,ทุเรียน,ทุเรียนสด,"8,210,233","684,938,129"
2562,11,พ.ย.,ทุเรียน,ทุเรียนสด,"4,403,957","375,923,314"
2562,12,ธ.ค.,ทุเรียน,ทุเรียนสด,"14,541,952","1,447,891,690"
2563,1,ม.ค.,ทุเรียน,ทุเรียนสด,"6,191,488","591,115,213"
2563,2,ก.พ.,ทุเรียน,ทุเรียนสด,"7,558,948","646,231,278"
2563,3,มี.ค.,ทุเรียน,ทุเรียนสด,"59,626,224","6,308,201,412"
2563,4,เม.ย.,ทุเรียน,ทุเรียนสด,"156,770,788","17,189,680,673"
2563,5,พ.ค.,ทุเรียน,ทุเรียนสด,"149,794,410","15,305,555,051"
2563,6,มิ.ย.,ทุเรียน,ทุเรียนสด,"46,254,096","4,581,863,201"
2563,7,ก.ค.,ทุเรียน,ทุเรียนสด,"71,425,666","6,951,336,127"
2563,8,ส.ค.,ทุเรียน,ทุเรียนสด,"32,415,098","3,517,857,638"
2563,9,ก.ย.,ทุเรียน,ทุเรียนสด,"59,858,034","6,673,755,941"
2563,10,ต.ค.,ทุเรียน,ทุเรียนสด,"14,403,241","1,779,258,054"
2563,11,พ.ย.,ทุเรียน,ทุเรียนสด,"7,035,866","850,979,591"
2563,12,ธ.ค.,ทุเรียน,ทุเรียนสด,"5,738,009","743,005,864"
2564,1,ม.ค.,ทุเรียน,ทุเรียนสด,"9,196,051","1,269,345,685"
2564,2,ก.พ.,ทุเรียน,ทุเรียนสด,"24,061,277","3,268,213,548"
2564,3,มี.ค.,ทุเรียน,ทุเรียนสด,"12,932,840","1,773,047,280"
2564,4,เม.ย.,ทุเรียน,ทุเรียนสด,"162,664,394","21,197,666,662"
2564,5,พ.ค.,ทุเรียน,ทุเรียนสด,"243,336,701","28,987,420,766"
2564,6,มิ.ย.,ทุเรียน,ทุเรียนสด,"94,233,097","12,236,753,592"
2564,7,ก.ค.,ทุเรียน,ทุเรียนสด,"122,277,062","14,467,850,435"
2564,8,ส.ค.,ทุเรียน,ทุเรียนสด,"132,028,812","15,140,720,916"
2564,9,ก.ย.,ทุเรียน,ทุเรียนสด,"32,657,817","4,214,540,202"
2564,10,ต.ค.,ทุเรียน,ทุเรียนสด,"10,679,438","1,593,593,014"
2564,11,พ.ย.,ทุเรียน,ทุเรียนสด,"13,696,204","2,180,973,746"
2564,12,ธ.ค.,ทุเรียน,ทุเรียนสด,"17,386,178","2,855,998,075"